Number of processes =8
0 x_310 = 1430
0 x_311 = 6729
0 x_312 = 8731
0 x_313 = 8877
0 x_314 = 5038
0 x_315 = 1610
0 x_316 = 4148
0 x_317 = 5644
0 x_318 = 5550
0 x_319 = 2072
0 x_320 = 2760
0 x_321 = 493
0 x_322 = 9024
0 x_323 = 1236
0 x_324 = 8792
0 x_325 = 1893
0 x_326 = 5378
0 x_327 = 4949
0 x_328 = 7558
0 x_329 = 2440
0 x_330 = 7135
0 x_331 = 5271
0 x_332 = 990
0 x_333 = 8931
0 x_334 = 7036
1 x_2507 = 575
1 x_2508 = 2817
1 x_2509 = 2602
1 x_2510 = 3888
7 x_17507 = 3980
7 x_17508 = 8669
7 x_17509 = 6583
7 x_17510 = 3329
2 x_5009 = 2363
2 x_5010 = 4286
2 x_5011 = 1509
2 x_5012 = 411
5 x_12508 = 2817
5 x_12509 = 2602
5 x_12510 = 3888
6 x_15008 = 1312
6 x_15009 = 2363
6 x_15010 = 4286
6 x_15011 = 1509
3 x_7507 = 3980
3 x_7508 = 8669
3 x_7509 = 6583
3 x_7510 = 3329
4 x_10008 = 2896
4 x_10009 = 5525
4 x_10010 = 1147
0 x_335 = 1608
0 x_336 = 4074
0 x_337 = 2906
0 x_338 = 5895
0 x_339 = 5596
0 x_340 = 3774
0 x_341 = 1047
0 x_342 = 1799
0 x_343 = 1900
0 x_344 = 5637
0 x_345 = 5291
0 x_346 = 1730
0 x_347 = 8588
0 x_348 = 3586
0 x_349 = 3332
0 x_350 = 3175
0 x_351 = 6607
0 x_352 = 4217
0 x_353 = 8197
0 x_354 = 7601
0 x_355 = 4031
0 x_356 = 1315
0 x_357 = 2474
0 x_358 = 8393
0 x_359 = 5612
0 x_360 = 4366
0 x_361 = 4469
0 x_362 = 8280
0 x_363 = 1431
0 x_364 = 6766
0 x_365 = 859
0 x_366 = 4084
0 x_367 = 3276
0 x_368 = 1103
0 x_369 = 3871
0 x_370 = 4636
0 x_371 = 5218
0 x_372 = 8270
0 x_373 = 1061
0 x_374 = 2317
0 x_375 = 2584
0 x_376 = 3222
0 x_377 = 8346
0 x_378 = 3873
0 x_379 = 4710
0 x_380 = 7956
0 x_381 = 7925
0 x_382 = 6778
0 x_383 = 1303
0 x_384 = 2030
0 x_385 = 1206
0 x_386 = 7682
0 x_387 = 7028
0 x_388 = 1312
0 x_389 = 2363
0 x_390 = 4286
0 x_391 = 1509
0 x_392 = 411
0 x_393 = 5990
0 x_394 = 9111
0 x_395 = 4455
0 x_396 = 7762
0 x_397 = 747
0 x_398 = 9181
0 x_399 = 7045
0 x_400 = 1941
0 x_401 = 7154
0 x_402 = 5974
0 x_403 = 8519
0 x_404 = 1033
0 x_405 = 1281
0 x_406 = 1216
0 x_407 = 8052
0 x_408 = 2236
0 x_409 = 8828
0 x_410 = 3225
0 x_411 = 8457
0 x_412 = 7980
0 x_413 = 8813
0 x_414 = 2670
0 x_415 = 6404
0 x_416 = 5947
0 x_417 = 7520
0 x_418 = 1034
0 x_419 = 1318
0 x_420 = 2585
0 x_421 = 3259
0 x_422 = 474
0 x_423 = 8321
0 x_424 = 2948
0 x_425 = 7449
0 x_426 = 7648
0 x_427 = 5770
0 x_428 = 971
0 x_429 = 8228
0 x_430 = 8748
0 x_431 = 265
1 x_2511 = 5265
1 x_2512 = 768
1 x_2513 = 717
7 x_17511 = 3064
7 x_17512 = 2500
7 x_17513 = 114
2 x_5013 = 5990
2 x_5014 = 9111
2 x_5015 = 4455
2 x_5016 = 7762
5 x_12511 = 5265
5 x_12512 = 768
5 x_12513 = 717
6 x_15012 = 411
6 x_15013 = 5990
6 x_15014 = 9111
3 x_7511 = 3064
3 x_7512 = 2500
3 x_7513 = 114
4 x_10011 = 5499
4 x_10012 = 185
4 x_10013 = 6869
0 x_432 = 588
0 x_433 = 3298
0 x_434 = 1917
0 x_435 = 6266
0 x_436 = 841
0 x_437 = 3418
0 x_438 = 6357
0 x_439 = 4208
0 x_440 = 7864
0 x_441 = 4521
0 x_442 = 963
0 x_443 = 7932
0 x_444 = 7037
0 x_445 = 1645
0 x_446 = 5443
0 x_447 = 7354
0 x_448 = 4133
0 x_449 = 5089
0 x_450 = 3497
0 x_451 = 39
0 x_452 = 1467
0 x_453 = 8098
0 x_454 = 3938
0 x_455 = 7115
0 x_456 = 4531
0 x_457 = 1333
0 x_458 = 3140
0 x_459 = 5312
0 x_460 = 2507
0 x_461 = 373
0 x_462 = 4584
0 x_463 = 3294
0 x_464 = 1769
0 x_465 = 790
0 x_466 = 1531
0 x_467 = 1225
0 x_468 = 8385
0 x_469 = 5316
0 x_470 = 2655
0 x_471 = 5849
0 x_472 = 3894
0 x_473 = 5487
0 x_474 = 8982
0 x_475 = 8923
0 x_476 = 6740
0 x_477 = 9138
0 x_478 = 5454
0 x_479 = 7761
0 x_480 = 710
0 x_481 = 7812
0 x_482 = 2597
0 x_483 = 3703
0 x_484 = 7661
0 x_485 = 6251
0 x_486 = 286
0 x_487 = 1365
0 x_488 = 4324
0 x_489 = 2915
0 x_490 = 6228
0 x_491 = 8676
0 x_492 = 6842
0 x_493 = 3671
0 x_494 = 6477
0 x_495 = 8648
0 x_496 = 5806
0 x_497 = 2303
0 x_498 = 2066
0 x_499 = 2538
0 x_500 = 1520
0 x_501 = 818
0 x_502 = 2567
0 x_503 = 2593
0 x_504 = 3555
1 x_2514 = 8071
1 x_2515 = 2939
1 x_2516 = 7116
7 x_17514 = 4242
7 x_17515 = 9122
7 x_17516 = 4862
2 x_5017 = 747
2 x_5018 = 9181
2 x_5019 = 7045
5 x_12514 = 8071
5 x_12515 = 2939
5 x_12516 = 7116
6 x_15015 = 4455
6 x_15016 = 7762
6 x_15017 = 747
3 x_7514 = 4242
3 x_7515 = 9122
3 x_7516 = 4862
4 x_10014 = 4670
4 x_10015 = 6476
4 x_10016 = 8611
0 x_505 = 2185
0 x_506 = 6941
0 x_507 = 7334
0 x_508 = 3393
0 x_509 = 5432
0 x_510 = 6947
0 x_511 = 7556
0 x_512 = 2366
0 x_513 = 4397
0 x_514 = 5616
0 x_515 = 4514
0 x_516 = 704
0 x_517 = 7590
0 x_518 = 3624
0 x_519 = 4738
0 x_520 = 8992
0 x_521 = 52
0 x_522 = 1948
0 x_523 = 7413
0 x_524 = 6316
0 x_525 = 2691
0 x_526 = 7181
0 x_527 = 6973
0 x_528 = 8518
0 x_529 = 996
0 x_530 = 9153
0 x_531 = 6009
0 x_532 = 573
0 x_533 = 2743
0 x_534 = 9105
0 x_535 = 4233
0 x_536 = 8789
0 x_537 = 1782
0 x_538 = 1271
0 x_539 = 846
0 x_540 = 3603
0 x_541 = 3961
0 x_542 = 7966
0 x_543 = 8295
0 x_544 = 1986
0 x_545 = 8819
0 x_546 = 2892
0 x_547 = 5377
0 x_548 = 4912
0 x_549 = 6189
0 x_550 = 7233
0 x_551 = 8897
0 x_552 = 5778
0 x_553 = 1267
0 x_554 = 698
0 x_555 = 7368
0 x_556 = 4651
0 x_557 = 5773
0 x_558 = 1082
0 x_559 = 3094
0 x_560 = 3610
0 x_561 = 4220
0 x_562 = 8308
0 x_563 = 2467
0 x_564 = 8134
0 x_565 = 5270
0 x_566 = 953
0 x_567 = 7562
0 x_568 = 2588
0 x_569 = 3370
0 x_570 = 4581
0 x_571 = 3183
1 x_2517 = 4568
1 x_2518 = 2702
1 x_2519 = 7588
7 x_17517 = 4339
7 x_17518 = 3470
7 x_17519 = 8281
7 x_17520 = 1468
2 x_5020 = 1941
2 x_5021 = 7154
2 x_5022 = 5974
2 x_5023 = 8519
5 x_12517 = 4568
5 x_12518 = 2702
5 x_12519 = 7588
5 x_12520 = 3550
6 x_15018 = 9181
6 x_15019 = 7045
6 x_15020 = 1941
3 x_7517 = 4339
3 x_7518 = 3470
3 x_7519 = 8281
3 x_7520 = 1468
4 x_10017 = 4437
4 x_10018 = 7096
4 x_10019 = 3828
0 x_572 = 6903
0 x_573 = 5928
0 x_574 = 6817
0 x_575 = 2746
0 x_576 = 9216
0 x_577 = 8340
0 x_578 = 3651
0 x_579 = 5737
0 x_580 = 8991
0 x_581 = 15
0 x_582 = 579
0 x_583 = 2965
0 x_584 = 8078
0 x_585 = 3198
0 x_586 = 7458
0 x_587 = 7981
0 x_588 = 8850
0 x_589 = 4039
0 x_590 = 1611
0 x_591 = 4185
0 x_592 = 7013
0 x_593 = 757
0 x_594 = 310
0 x_595 = 2253
0 x_596 = 216
0 x_597 = 8016
0 x_598 = 904
0 x_599 = 5749
0 x_600 = 194
0 x_601 = 7202
0 x_602 = 7750
0 x_603 = 303
0 x_604 = 1994
0 x_605 = 9115
0 x_606 = 4603
0 x_607 = 3997
0 x_608 = 57
0 x_609 = 2133
0 x_610 = 5017
0 x_611 = 833
0 x_612 = 3122
0 x_613 = 4646
0 x_614 = 5588
0 x_615 = 3478
0 x_616 = 8577
0 x_617 = 3179
0 x_618 = 6755
0 x_619 = 452
0 x_620 = 7507
0 x_621 = 553
0 x_622 = 2003
0 x_623 = 207
0 x_624 = 7683
0 x_625 = 7065
0 x_626 = 2681
0 x_627 = 6811
0 x_628 = 2524
0 x_629 = 1002
0 x_630 = 134
0 x_631 = 4982
0 x_632 = 8779
0 x_633 = 1412
0 x_634 = 6063
0 x_635 = 2571
0 x_636 = 2741
0 x_637 = 9031
0 x_638 = 1495
1 x_2520 = 3550
1 x_2521 = 2000
1 x_2522 = 96
1 x_2523 = 3576
7 x_17521 = 8135
7 x_17522 = 5307
7 x_17523 = 2322
2 x_5024 = 1033
2 x_5025 = 1281
2 x_5026 = 1216
2 x_5027 = 8052
5 x_12521 = 2000
5 x_12522 = 96
5 x_12523 = 3576
6 x_15021 = 7154
6 x_15022 = 5974
6 x_15023 = 8519
6 x_15024 = 1033
3 x_7521 = 8135
3 x_7522 = 5307
3 x_7523 = 2322
4 x_10020 = 3045
4 x_10021 = 1797
4 x_10022 = 1826
0 x_639 = 9134
0 x_640 = 5306
0 x_641 = 2285
0 x_642 = 1400
0 x_643 = 5619
0 x_644 = 4625
0 x_645 = 4811
0 x_646 = 2452
0 x_647 = 7579
0 x_648 = 3217
0 x_649 = 8161
0 x_650 = 6269
0 x_651 = 952
0 x_652 = 7525
0 x_653 = 1219
0 x_654 = 8163
0 x_655 = 6343
0 x_656 = 3690
0 x_657 = 7180
0 x_658 = 6936
0 x_659 = 7149
0 x_660 = 5789
0 x_661 = 1674
0 x_662 = 6516
0 x_663 = 850
0 x_664 = 3751
0 x_665 = 196
0 x_666 = 7276
0 x_667 = 1247
0 x_668 = 9199
0 x_669 = 7711
1 x_2524 = 2962
1 x_2525 = 7967
1 x_2526 = 8332
7 x_17524 = 2769
7 x_17525 = 826
7 x_17526 = 2863
2 x_5028 = 2236
2 x_5029 = 8828
2 x_5030 = 3225
2 x_5031 = 8457
5 x_12524 = 2962
5 x_12525 = 7967
5 x_12526 = 8332
6 x_15025 = 1281
6 x_15026 = 1216
6 x_15027 = 8052
3 x_7524 = 2769
3 x_7525 = 826
3 x_7526 = 2863
4 x_10023 = 2899
4 x_10024 = 5636
4 x_10025 = 5254
0 x_670 = 8101
0 x_671 = 4049
0 x_672 = 1981
0 x_673 = 8634
0 x_674 = 5288
0 x_675 = 1619
0 x_676 = 4481
0 x_677 = 8724
0 x_678 = 8618
0 x_679 = 4696
0 x_680 = 7438
0 x_681 = 7241
0 x_682 = 9193
0 x_683 = 7489
0 x_684 = 9128
0 x_685 = 5084
0 x_686 = 3312
0 x_687 = 2435
0 x_688 = 6950
0 x_689 = 7667
0 x_690 = 6473
0 x_691 = 8500
0 x_692 = 330
0 x_693 = 2993
0 x_694 = 9114
0 x_695 = 4566
0 x_696 = 2628
0 x_697 = 4850
0 x_698 = 3895
0 x_699 = 5524
0 x_700 = 1110
0 x_701 = 4130
0 x_702 = 4978
0 x_703 = 8631
0 x_704 = 5177
0 x_705 = 6753
0 x_706 = 378
0 x_707 = 4769
0 x_708 = 898
0 x_709 = 5527
0 x_710 = 1221
0 x_711 = 8237
0 x_712 = 9081
0 x_713 = 3345
1 x_2527 = 3355
1 x_2528 = 4026
1 x_2529 = 1130
7 x_17527 = 4304
7 x_17528 = 2175
7 x_17529 = 6571
7 x_17530 = 2885
2 x_5032 = 7980
2 x_5033 = 8813
2 x_5034 = 2670
5 x_12527 = 3355
5 x_12528 = 4026
5 x_12529 = 1130
5 x_12530 = 4870
5 x_12531 = 4635
6 x_15028 = 2236
6 x_15029 = 8828
6 x_15030 = 3225
6 x_15031 = 8457
6 x_15032 = 7980
3 x_7527 = 4304
3 x_7528 = 2175
3 x_7529 = 6571
4 x_10026 = 361
4 x_10027 = 4140
4 x_10028 = 5348
0 x_714 = 3656
0 x_715 = 5922
0 x_716 = 6595
0 x_717 = 3773
0 x_718 = 1010
0 x_719 = 430
0 x_720 = 6693
0 x_721 = 7399
0 x_722 = 5798
0 x_723 = 2007
0 x_724 = 355
0 x_725 = 3918
0 x_726 = 6375
0 x_727 = 4874
0 x_728 = 4783
0 x_729 = 1416
0 x_730 = 6211
0 x_731 = 8047
0 x_732 = 2051
0 x_733 = 1983
0 x_734 = 8708
0 x_735 = 8026
0 x_736 = 1274
0 x_737 = 957
0 x_738 = 7710
0 x_739 = 8064
0 x_740 = 2680
0 x_741 = 6774
0 x_742 = 1155
0 x_743 = 5795
0 x_744 = 1896
0 x_745 = 5489
0 x_746 = 9056
0 x_747 = 2420
0 x_748 = 6395
0 x_749 = 5614
0 x_750 = 4440
0 x_751 = 7207
0 x_752 = 7935
0 x_753 = 7148
0 x_754 = 5752
0 x_755 = 305
0 x_756 = 2068
0 x_757 = 2612
0 x_758 = 4258
0 x_759 = 473
0 x_760 = 8284
0 x_761 = 1579
0 x_762 = 3001
0 x_763 = 169
0 x_764 = 6277
0 x_765 = 1248
0 x_766 = 9236
0 x_767 = 9080
0 x_768 = 3308
0 x_769 = 2287
0 x_770 = 1474
0 x_771 = 8357
0 x_772 = 4280
0 x_773 = 1287
0 x_774 = 1438
0 x_775 = 7025
0 x_776 = 1201
0 x_777 = 7497
0 x_778 = 183
0 x_779 = 6795
0 x_780 = 1932
0 x_781 = 6821
0 x_782 = 2894
0 x_783 = 5451
0 x_784 = 7650
0 x_785 = 5844
0 x_786 = 3709
0 x_787 = 7883
1 x_2530 = 4870
1 x_2531 = 4635
1 x_2532 = 5181
1 x_2533 = 6901
7 x_17531 = 5118
7 x_17532 = 4570
7 x_17533 = 2776
7 x_17534 = 1085
7 x_17535 = 3205
2 x_5035 = 6404
2 x_5036 = 5947
2 x_5037 = 7520
2 x_5038 = 1034
2 x_5039 = 1318
5 x_12532 = 5181
5 x_12533 = 6901
5 x_12534 = 5854
5 x_12535 = 4079
6 x_15033 = 8813
6 x_15034 = 2670
6 x_15035 = 6404
3 x_7530 = 2885
3 x_7531 = 5118
3 x_7532 = 4570
3 x_7533 = 2776
3 x_7534 = 1085
3 x_7535 = 3205
4 x_10029 = 3839
4 x_10030 = 3452
4 x_10031 = 7615
0 x_788 = 5224
0 x_789 = 8492
0 x_790 = 34
0 x_791 = 1282
0 x_792 = 1253
0 x_793 = 180
0 x_794 = 6684
0 x_795 = 7066
0 x_796 = 2718
0 x_797 = 8180
0 x_798 = 6972
0 x_799 = 8481
0 x_800 = 8868
0 x_801 = 4705
0 x_802 = 7771
0 x_803 = 1080
0 x_804 = 3020
0 x_805 = 872
0 x_806 = 4565
0 x_807 = 2591
0 x_808 = 3481
0 x_809 = 8688
0 x_810 = 7286
0 x_811 = 1617
0 x_812 = 4407
0 x_813 = 5986
0 x_814 = 8963
0 x_815 = 8220
0 x_816 = 8452
0 x_817 = 7795
0 x_818 = 1968
0 x_819 = 8153
0 x_820 = 5973
0 x_821 = 8482
0 x_822 = 8905
0 x_823 = 6074
0 x_824 = 2978
0 x_825 = 8559
0 x_826 = 2513
0 x_827 = 595
0 x_828 = 3557
0 x_829 = 2259
0 x_830 = 438
0 x_831 = 6989
0 x_832 = 9110
0 x_833 = 4418
0 x_834 = 6393
0 x_835 = 5540
0 x_836 = 1702
0 x_837 = 7552
0 x_838 = 2218
0 x_839 = 8162
0 x_840 = 6306
0 x_841 = 2321
0 x_842 = 2732
0 x_843 = 8698
0 x_844 = 7656
0 x_845 = 6066
0 x_846 = 2682
0 x_847 = 6848
0 x_848 = 3893
0 x_849 = 5450
0 x_850 = 7613
0 x_851 = 4475
0 x_852 = 8502
0 x_853 = 404
0 x_854 = 5731
0 x_855 = 8769
0 x_856 = 1042
0 x_857 = 1614
0 x_858 = 4296
0 x_859 = 1879
0 x_860 = 4860
0 x_861 = 4265
0 x_862 = 732
0 x_863 = 8626
0 x_864 = 4992
0 x_865 = 9149
0 x_866 = 5861
0 x_867 = 4338
0 x_868 = 3433
0 x_869 = 6912
0 x_870 = 6261
0 x_871 = 656
0 x_872 = 5814
0 x_873 = 2599
0 x_874 = 3777
0 x_875 = 1158
0 x_876 = 5906
0 x_877 = 6003
0 x_878 = 351
0 x_879 = 3770
0 x_880 = 899
0 x_881 = 5564
0 x_882 = 2590
0 x_883 = 3444
5 x_12536 = 3091
5 x_12537 = 3499
5 x_12538 = 113
6 x_15036 = 5947
6 x_15037 = 7520
6 x_15038 = 1034
6 x_15039 = 1318
3 x_7536 = 7717
3 x_7537 = 8323
3 x_7538 = 3022
4 x_10032 = 4549
4 x_10033 = 1999
4 x_10034 = 59
1 x_2534 = 5854
1 x_2535 = 4079
1 x_2536 = 3091
7 x_17536 = 7717
7 x_17537 = 8323
7 x_17538 = 3022
2 x_5040 = 2585
2 x_5041 = 3259
2 x_5042 = 474
0 x_884 = 7319
0 x_885 = 2838
0 x_886 = 3379
0 x_887 = 4914
0 x_888 = 6263
0 x_889 = 730
0 x_890 = 8552
0 x_891 = 2254
0 x_892 = 253
0 x_893 = 144
0 x_894 = 5352
0 x_895 = 3987
0 x_896 = 8928
0 x_897 = 6925
0 x_898 = 6742
0 x_899 = 9212
0 x_900 = 8192
0 x_901 = 7416
0 x_902 = 6427
0 x_903 = 6798
0 x_904 = 2043
0 x_905 = 1687
0 x_906 = 6997
0 x_907 = 165
0 x_908 = 6129
0 x_909 = 5013
0 x_910 = 685
0 x_911 = 6887
0 x_912 = 5336
0 x_913 = 3395
0 x_914 = 5506
0 x_915 = 444
0 x_916 = 7211
0 x_917 = 8083
0 x_918 = 3383
0 x_919 = 5062
0 x_920 = 2498
0 x_921 = 40
0 x_922 = 1504
0 x_923 = 226
0 x_924 = 8386
0 x_925 = 5353
0 x_926 = 4024
0 x_927 = 1056
0 x_928 = 2132
0 x_929 = 4980
0 x_930 = 8705
0 x_931 = 7915
0 x_932 = 6408
0 x_933 = 6095
0 x_934 = 3755
1 x_2537 = 3499
1 x_2538 = 113
1 x_2539 = 4205
1 x_2540 = 7753
1 x_2541 = 414
7 x_17539 = 946
7 x_17540 = 7303
7 x_17541 = 2246
2 x_5043 = 8321
2 x_5044 = 2948
2 x_5045 = 7449
2 x_5046 = 7648
2 x_5047 = 5770
5 x_12539 = 4205
5 x_12540 = 7753
5 x_12541 = 414
6 x_15040 = 2585
6 x_15041 = 3259
6 x_15042 = 474
6 x_15043 = 8321
3 x_7539 = 946
3 x_7540 = 7303
3 x_7541 = 2246
4 x_10035 = 2207
4 x_10036 = 7755
4 x_10037 = 488
4 x_10038 = 8839
0 x_935 = 344
0 x_936 = 3511
0 x_937 = 557
0 x_938 = 2151
0 x_939 = 5683
0 x_940 = 6993
0 x_941 = 17
0 x_942 = 653
0 x_943 = 5703
0 x_944 = 7733
0 x_945 = 8915
0 x_946 = 6444
0 x_947 = 7427
0 x_948 = 6834
0 x_949 = 3375
0 x_950 = 4766
0 x_951 = 787
0 x_952 = 1420
0 x_953 = 6359
0 x_954 = 4282
0 x_955 = 1361
0 x_956 = 4176
0 x_957 = 6680
0 x_958 = 6918
0 x_959 = 6483
0 x_960 = 8870
0 x_961 = 4779
0 x_962 = 1268
0 x_963 = 735
0 x_964 = 8737
0 x_965 = 9099
